country,Rap/Hip Hop,Pop,Electro,R&B,Films/Jeux vidéo,Rock/Hard Rock,Techno/House,Country,Trance,Reggae,population_total,life_expectancy,birth_rate,avg_income
AT,0.583605375077838,0.19647958721059383,0.28107600528631077,0.31766026323601154,0.3015207344894671,0.1569529902493072,0.16511160458595223,2.010869565217391,2.0106382978723403,0.0,0.10037595357155893,0.777902097902094,0.365079365079365,0.5966446802408948
BE,0.440470465801087,0.5250464645791811,0.25773103157988664,0.5435244466947248,0.9144274658380236,0.5245027813193933,0.664558957976673,4.12962962962963,2.0163934426229506,0.12143820295071307,0.13222858950493363,0.7893706293706264,0.5873015873015873,0.5536277602523659
BG,0.4852600793410558,0.7103491350933396,0.30860411746161537,0.7835964578979868,0.602659398755467,0.21918154024148248,0.16516642989555474,2.0256410256410255,0.0,0.12150365946759797,0.07731990120572813,0.0,0.5555555555555556,0.0
CZ,0.4542521462119557,0.4865817486795385,0.32154082241661486,0.6562459312194586,0.6760982981086239,1.0,0.7057793166686048,2.0454545454545454,2.0126582278481013,0.0,0.12183815746249589,0.4721678321678291,0.7619047619047618,0.18153140235159163
DK,0.6136932381074802,1.0,0.7964309762437005,1.0,0.6062756995289865,0.7362885763364909,1.0,10.225131051495529,0.0,0.24386475073012331,0.06330376805246317,0.7269930069930024,0.7460317460317458,0.7682821909951247
EE,0.3913295979543682,0.33622481160316686,1.0,0.5642491442265389,0.6093001193348827,0.5789597566491802,0.4991448876655784,4.110526315789474,4.032522474881015,0.0,0.008541081140270832,0.40531468531469284,0.6825396825396823,0.19529681674792085
FI,0.49708643579151307,0.8593305769274575,0.10568143414913522,0.48674227665024894,0.4555548350881464,0.3786041692256536,0.1689371484512953,4.053714859437751,0.0,0.1214947873493455,0.05983623511090022,0.7879720279720263,0.1904761904761906,0.5808718095784342
FR,0.7050825353447383,0.0,0.0,0.6161851098438209,0.30050067928483565,0.0,0.0,2.022727272727273,0.0,0.12231557203280491,0.8102590307941259,0.8847552447552441,1.0,0.47361628907370235
DE,0.5830638776125016,0.1289455182123579,0.1783768438883979,0.2321574621140289,0.3771319124814982,0.2616874621657261,0.16591139372296715,2.25,0.0,0.3758190952774063,1.0,0.708811188811191,0.49206349206349204,0.5739891023802696
GR,0.6360186209398685,0.3715445631463305,0.4207937223010076,0.3953282597890353,0.0,0.006439153007704585,0.16553170105079582,2.013157894736842,2.0166666666666666,0.0,0.12265333187331946,0.748531468531467,0.17460317460317473,0.14697447662747348
HU,0.34624407827195486,0.6420496157806913,0.5811564462865607,0.6525539978080984,0.6108500609176756,0.6312650821501385,0.16718947022308164,0.0,5.015873015873016,0.27721578724811197,0.11092455378326094,0.1384615384615341,0.5079365079365079,0.1022368798394035
IE,0.0,0.5240401197864565,0.20484241645913237,0.4673017697223127,1.0,0.9997459816405138,0.5002468144248077,15.676057968525903,0.0,0.0,0.052049494470197466,0.8704895104895148,0.7619047619047618,0.7764554057929453
LV,0.5404290989073618,0.38463222464605934,0.5709806699897526,0.4446877891541515,0.7542303811509748,0.7387790183934121,0.49938449983279953,4.064679771718453,0.0,0.0,0.015828983708678565,0.031608391608395306,0.6031746031746033,0.1167192429022082
LT,0.19162713734969855,0.5286227343660014,0.7718049126356777,0.43156622804236094,0.531182844064843,0.41911610657157183,0.3333974672420939,8.093286099865047,4.044583768721699,0.0,0.026316750009125086,0.13426573426573699,0.6031746031746033,0.13894465156294808
LU,0.6980000317951254,0.47423247548767006,0.2564376854363598,0.6391344392562075,0.9815294822398523,0.4193526421273105,0.49733072352345625,6.108267918526499,2.013333333333333,0.2435107390559653,0.0,0.8632167832167812,0.17460317460317473,1.0
NL,0.37085837646199993,0.7715306359665117,0.15124450498312453,0.7754401882939762,0.761242567962677,0.57685795711243,0.49733453246752607,6.1119573366046485,6.047485283078503,0.0,0.20275942621454904,0.8027972027971989,0.5396825396825398,0.6091195870375681
PL,0.946447125619357,0.15218787454377558,0.4670990141917738,0.15147918962102255,0.37607304153975885,0.31412586563322625,0.49760694236944847,2.019230769230769,0.0,0.0,0.4535776423209354,0.32027972027972246,0.3333333333333332,0.08703756811012331
PT,0.5426514441621852,0.29664194894164164,0.09930701305304168,0.3285731314080437,0.6062867546309971,0.0031805948149474313,0.16817249788038463,6.148129791171028,0.0,0.2435014931023295,0.11706877882006546,0.7527272727272756,0.31746031746031733,0.197017493547462
RO,0.2613680822356849,0.2809849870447466,0.47362676388287955,0.35042998280123583,0.3759844614845545,0.0011893469473939482,0.836630394148024,2.0208333333333335,0.0,0.0,0.2280419997323308,0.056783216783215386,0.8571428571428571,0.04674505305420132
SK,0.632745639453382,0.4282019097687685,0.312471641825189,0.48924920559154894,0.3763279658368478,0.3673414824128085,0.5100095402587316,4.034013605442176,0.0,0.0,0.05880205861955689,0.2928671328671356,0.5396825396825398,0.14009176942930887
ES,1.0,0.6298829525915757,0.48201221868004807,0.0,0.30199223161213806,0.26325839192852596,0.16559281043126134,2.0217391304347827,0.0,1.0,0.5609373289046246,1.0,0.0,0.30011471178663607
SE,0.18584577730591903,0.8893275474636534,0.15516601583759662,0.08105038692779135,0.8445732749728151,0.8963168441993654,0.4995422121840189,14.17729755547381,0.0,0.0,0.11723911377158083,0.917202797202798,0.7619047619047618,0.6709205620877545
